#名前,職,index,称号,レア度,コスト,絆コスト,武器属性,入手先・分類,入手先,声優,イラストレーター,所属,職業,最大ATK,最大HP,限界ATK,限界HP,（入力補助用・名前）,スキル名,アビリティ1・名前,アビリティ2・名前,武器アビリティ・名前,絆アビリティ名
オウララ,F,133,大自然の守護者,4,15,3,Pi,second,beasts,緑川 光,ネム,beasts,Lancer,5900,5900,7700,7700,オウララ,クールランス,自然との同化,同志との協調,,クールパイク
キココナ,F,134,大自然の朋友,4,15,3,Pu,second,beasts,緒方 恵美,富岡二郎（RED FS）,beasts,Grappler,5360,5900,7160,7700,キココナ,フォックステイル,精霊舞闘,自然との調和,,霊山の声
ディシシヤ,F,135,積み重ねた勝利,4,15,3,Pu,second,beasts,櫻井 孝宏,ネム,beasts,Grappler,5300,5200,7100,7000,ディシシヤ,ビーストラッシュ,誇りの闘い,勇猛なる虎,,虎の誇り
レジジ,F,136,仲良し格闘姉弟,4,15,3,Pu,second,beasts,高山 みなみ,堀 愛里／日本一ソフト,beasts,Grappler,5670,5320,7470,7120,レジジ,序ノ撃・獣痺拳,連携格闘,打倒の打撃,,打倒の連撃
リジジ,F,137,仲良し格闘姉弟,4,15,3,Pu,second,beasts,高山 みなみ,堀 愛里／日本一ソフト,beasts,Grappler,5760,5230,7560,7030,リジジ,終ノ撃・獣飛掌,連携格闘,打倒の追撃,,獣飛の追撃
ニュガガス,M,89,紅焔の操り手,4,15,3,Ma,second,beasts,花澤 香菜,萩谷薫,beasts,Shaman,5740,3540,7540,5340,ニュガガス,炎精大召喚,炎の武器,仲間とともに,,炎精守護壁
,,,,,,,,,,,,,,,,,,,,,,,
ラミミス,F,138,天性の才,3,10,2,Pu,second,beasts,花澤 香菜,憂,beasts,Grappler,4450,3770,6050,5370,ラミミス,オーバーヒート,連撃,,,炎の壁
ネジジア,F,139,陽だまりの闘士,3,10,2,Pu,second,beasts,井口 裕香,泉彩,beasts,Grappler,4780,3780,6380,5380,ネジジア,ラストスクラッチ,山地戦闘 ,,,登山の心得
ゼシシラ,F,140,蠱惑の微笑み,3,10,2,Pu,second,other,洲崎 綾,加藤さやか,beasts,Grappler,4560,3440,6160,5040,ゼシシラ,キャットベール,狩猟,,,害虫駆除
クルルア,A,61,頑固な狩人,3,10,2,Ar,second,beasts,山口 勝平,ネム,beasts,Hunter,4630,2730,6230,4330,クルルア,バリューショット,狩猟,,,援護射撃
ニリリス,M,90,溢れる空言,3,10,2,Ma,second,beasts,花澤 香菜,かる,beasts,Shaman,4720,2800,6320,4400,ニリリス,殺生石杖,嘘と真,,,物騒なシャレ
パモモイ,M,91,憂いの白兎,3,10,2,Ma,second,beasts,緒方 恵美,ネム,beasts,Shaman,4020,2430,5620,4030,パモモイ,ブラインシュート,心の弾み,,,マナの共鳴
ユルルガ,M,92,仮面の精霊使い,3,10,2,Ma,second,other,櫻井 孝宏,Tobi,beasts,Shaman,4650,2530,6250,4130,ユルルガ,フォーユピテル,予言,,,大物狙い
フリリム,P,38,駆けまわる癒し手,3,10,2,He,second,other,井口 裕香,コダマユウヤ,beasts,Paramedic,4300,3010,5900,4610,フリリム,ヘイストヒール,駆けつけ救命士,,,おすすめの靴
ミリリア,P,39,怖がり仔兎,3,10,2,He,second,beasts,内田 彩,しろ,beasts,Healer,4350,2950,5950,4550,ミリリア,オートヒール,祝福,,,小さな幸福
,,,,,,,,,,,,,,,,,,,,,,,
ジルルア,F,141,集落の番人,2,5,1,Pu,second,other,緒方 恵美,鈴木由布子,beasts,Grappler,2730,2340,4130,3740,ジルルア,ハンドナックル,狩猟,,,努力家
ビゾゾエ,A,62,気まぐれ音楽家,2,5,1,Ar,second,other,沢城 みゆき,吉田ちひろ,beasts,Minstrel,,,,,ビゾゾエ,ビゾゾエリサイタル,強気,,,援護射撃
コルルリ,A,63,嘘つき狼少女,2,5,1,Ar,second,other,今井 麻美,松岡昭雄,beasts,Archer,,,,,コルルリ,狼少女の叫び,山地戦闘 ,,,登山の心得
,,,,,,,,,,,,,,,,,,,,,,,
リンセ,F,142,縁繋ぐ山猫,5,16,4,Sl,collaboration,other,小岩井 ことり,加藤裕美,forest,Fighter,5620,5620,7620,7620,リンセ,ニャインライブス,リンクス,調和の絆,,繋がる縁
ニコル,M,93,聖夜の演出家,4,10,2,Ma,event,other,藤村 歩,塚本康城,guildtown,Magician,4450,2440,6250,4240,ニコル,ハッピーギフト,聖夜祭の一族,マジカルピース,,聖夜の願い
,,,,,,,,,,,,,,,,,,,,,,,
# 魔神フロガビトゥス戦,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ギン,F,143,文化の伝道師,5,18,4,Sl,first,volcano,沢城 みゆき,武城にしき,volcano,Meister,7010,6150,9010,8150,ギン,連舞・姫檜扇,チャノユの達人,チャノユの伝道師,,戦闘舞踊
ドルテ,F,144,技術の伝道師,4,13,3,Bl,first,mountain,洲崎 綾,武城にしき,mountain,Smith,5380,5480,7180,7280,ドルテ,ファンククラッシュ,匠の防具,多機能工具,,機能的な護り
フロガビトゥス,K,69,装飾の魔神,5,20,4,Pi,event,demon,今井 麻美,武城にしき,demon,Demon,4660,5220,8660,10020,フロガビトゥス,アステイオス,魔神の慈愛,オシャレパワー,,魔神の装飾
,,,,,,,,,,,,,,,,,,,,,,,
ツガル,F,145,鬼の吟遊詩人,5,16,4,Sl,ring,trade,原 由実,24,volcano,Minstrel,5300,5100,7300,7100,ツガル,雷光手奏法,鬼の剣術,鳴り響くハーモニクス,,鬼風車奏法
メリオ,A,64,羊の守護者,3,8,2,Ar,event,other,柿原 徹也,24,forest,Archer,4250,2350,5850,3950,メリオ,スリーピングシープ,後方防御支援,,,バリケード
,,,,,,,,,,,,,,,,,,,,,,,
# 九領外伝フェス,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ズイハ,A,65,第三領主,5,18,4,Ar,first,volcano,花澤 香菜,ひと和,volcano,MasterArcher,7150,4250,9150,6250,ズイハ,大弓天をも穿つ,戦乱の大弓,覇道への驀進,,ズイハの采配
シドウ,F,146,無惨の剣士,4,13,3,Sl,first,volcano,櫻井 孝宏,Tobi,volcano,Samurai,5600,5000,7400,6800,シドウ,裏式・闇時雨,血ト錆ニ狂ツテ,修羅之道,,撫で斬り御免
ユミコ,M,94,髑髏使い,4,13,3,Ma,first,volcano,野中 藍,Tobi,volcano,Magician,5400,3720,7200,5520,ユミコ,冥導黒衝波,人を呪わば,骸を纏う呪術師,,お守り頭蓋
,,,,,,,,,,,,,,,,,,,,,,,
アイレ,A,66,千河の風読み,5,16,4,Ar,ring,random,藤村 歩,卵の黄身,forest,Archer,5100,3000,7100,3000,アイレ,ディヴェント,風を読む者,フォローウィンド,,見えざる支援
,,,,,,,,,,,,,,,,,,,,,,,
# 魔神タリビク戦,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ファルナーズ,K,70,剣舞の踊子,5,18,4,Sl,first,oasis,沢城 みゆき,ネム,oasis,Dancer,6800,7150,8800,9150,ファルナーズ,アパッショナート,炎と心眼の舞踏,力と守護の舞踏,,鼓舞の舞踏
タリビク,A,67,魅惑の魔神,5,20,4,Ar,event,demon,洲崎 綾,ネム,demon,Demon,4600,3200,9000,6400,タリビク,ア・ピアチェーレ,魔神の誘惑,声援をちょうだいッ！,,魅惑マニュアル
,,,,,,,,,,,,,,,,,,,,,,,
ヴェスパ,K,71,女王蜂,5,16,4,Pi,ring,trade,今井 麻美,寺山敬,forest,Guardian,5300,6400,7300,8400,ヴェスパ,レジナ・デル・ベレーノ,女王蜂の秘毒,すべては女王のために,,女王蜂
ドゥルセ,M,95,黄果のお菓子屋さん,5,17,4,Ma,first,academy,福圓 美里,タカナシカナ,academy,Patissiere,6600,3980,8600,5980,ドゥルセ,ドルチェフェスタ,幸せ菓子職人,ポムの実タルト,,絶品タルト
,,,,,,,,,,,,,,,,,,,,,,,
# ラジオコラボ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
リヒト,P,40,希望の闇,5,18,4,Sl,first,holytown,緑川 光,ひと和,holytown,Priest,7000,5200,9000,7200,リヒト,グランツァイト,闇を宿す聖職者,心に秘めし光,,微かな光
ファルベ,M,96,闇癒す魔導師,5,17,4,Ma,first,guildtown,内田 彩,萩谷薫,guildtown,Magician,6550,4200,8550,6200,ファルベ,シーセン・ハイト,艶花の包容力,彩りを灯す者,,愛情のおすそ分け
ハンフ,F,149,闇はらう剣士,5,17,4,Sl,first,guildtown,今井 麻美,天野英,guildtown,Warrior,6900,6160,8900,8180,ハンフ,フォル・モーント,鍛錬の成果,美しき勇気,,強敵戦闘指南
ロッソ＝ロッソ,F,150,たぎる炎,4,13,3,Pu,first,mountain,内田 彩,ジャコシバ,mountain,Grappler,5550,4750,7550,6750,ロッソ＝ロッソ,シアリングブラッド,紅蓮拳,パイロクラズム,,オーバーヒート
レミラ,K,72,聖騎士団長“聖供の運び手”,4,13,3,Pi,first,holytown,内田 彩,NPA,holytown,Paladin,5250,5750,7050,7550,レミラ,兵糧補給,兵站管理,聖供騎士の激励,,聖供の加護
リノセ,K,73,豪胆武人,4,13,3,Bl,first,forest,今井 麻美,チェロキー,forest,Guardian,5300,5800,7100,7600,リノセ,突進,サイの祝福,頑強なる体躯,,頑丈な身体
ザイド,A,68,遺物の護り手,4,13,3,Ar,first,oasis,緑川 光,沙汰,oasis,Marchant,,,,,ザイド,トラースホッブ,古物商,宝のあるべきところ,,古物商の目
ヨイチ,A,69,忠義の少女,4,13,3,Ar,first,volcano,今井 麻美,松田硯,volcano,Archer,5400,3200,7200,5000,ヨイチ,朧一,一番の子分！,お供します！,,お付きの者
パルマー,M,97,一ツ星教授,4,13,3,Ma,first,academy,緑川 光,木志田コテツ,academy,Professor,5600,3500,7400,5300,パルマー,ブレインストーム,一つ星教授,算術魔法術式理論,,算術士の指導
,,,,,,,,,,,,,,,,,,,,,,,
# 羽ばたく自由の鷹,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ミノア,K,74,“清廉の泉”騎士団長,5,18,4,Pi,first,holytown,井口 裕香,ワダアルコ,holytown,Knight,6350,7650,8350,9650,ミノア,ピュリファイスピア,清廉の槍,“清廉の泉”騎士団長,,清廉の盾
レリアン,K,75,大鎌の執行者,5,18,4,Sl,first,holytown,三上 枝織,武城にしき,holytown,Enforcer,6520,7480,8520,9480,レリアン,イグゼキュート,断罪人の宿命,罪人へのレクイエム,,宿命の鎌
ソール,K,76,天恵の騎士,4,13,3,Pi,first,holytown,中村 悠一,六七質,holytown,Knight,5120,5800,6920,7600,ソール,ラストスタンド,秘めたる勇気,天恵の騎士,,天の守護
ディード,K,77,白翼の自由騎士,5,20,4,Pi,event,score,佐倉 綾音,ぜろきち,holytown,Paladin,4500,5000,8500,9200,ディード,スカイハイトヴィント,蒼き疾風,自由の騎士,,白鷹の翼
,,,,,,,,,,,,,,,,,,,,,,,
マスターシステム,A,70,赤と黒のミューズ,4,12,3,Ar,collaboration,other,高山 ゆうこ,KEI,others,Muse,4500,2800,,,マスターシステム,サラウンドサウンドシャワー,後方防御支援,ハイセンス,,独自の感性
エールイ,M,98,凍える涙,5,16,4,Ma,ring,trade,渕上 舞,チーコ,academy,Magician,5650,3350,7650,5350,エールイ,アイスカタフラクト,冷気の壁,溢れる冷気,,氷の涙
,,,,,,,,,,,,,,,,,,,,,,,
# 2部4章,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
タチアナ,A,71,強欲な花,5,20,4,Gu,second,criminal,小山 茉美,煎茶,criminal,Trickster,8000,3600,10000,5600,タチアナ,ポイズンプリズン,天性の欲望,死の薫る妖花,,蜜毒の罠
アリシア,A,72,二重人格殺人鬼,5,20,4,Gu,second,criminal,小林 ゆう,木志田コテツ,criminal,Killer,7440,3410,9440,5410,アリシア,デス・ガンプリズン,アシリア,アリシア,,人格変更トリガー
ボムボマー,A,73,激情の爆弾魔,5,20,4,Gu,second,criminal,緑川 光,萩谷薫,criminal,Criminal,7700,3700,9700,5700,ボムボマー,カタストロフ,焦熱の罪人,偏執の爆炎,,爆炎と爆煙
ドーリィ,A,74,哀しき人形,5,20,4,Sh,second,criminal,今井 麻美,泉彩,criminal,Sniper,7650,3500,9650,5500,ドーリィ,イノセンクロス,隷従へ誘う撃鉄,慈悲深き葬射,,殺戮葬送
,,,,,,,,,,,,,,,,,,,,,,,
ゾーイ,F,147,切り裂き少女,4,15,3,Sl,second,criminal,伊瀬 茉莉也,天野英,criminal,Killer,5600,5250,7400,7050,ゾーイ,ブラッドリッパー,血を求める双剣,肉を切る欲情,,吸血剣
ヴァリー,F,148,暴走鉄拳,4,15,3,Pu,second,criminal,緒方 恵美,天野英,criminal,Berserker,6010,5410,7810,7210,ヴァリー,デュエルプリズン,桎梏の用心棒,バトルマニア,,拘束解放技能
セスト,A,75,寄る辺なき狙撃手,4,15,3,Sh,second,criminal,浪川 大輔,文太,criminal,Sniper,5800,3000,7600,4800,セスト,スナイプテリトリー,契約の履行,狙撃手の夜明け,,ウィークポイントショット
キース,A,76,大罪の悪童,4,15,3,Gu,second,criminal,浪川 大輔,沙汰,criminal,Gangster,5740,3160,7540,4960,キース,クイックボム,束縛からの解放,連鎖する悪意の銃弾,,ギャングスター
エレオノーラ,A,77,籠城の狙撃姫,4,15,3,Sh,second,criminal,藤村 歩,I☆LA,criminal,Sniper,5550,3300,7350,5100,エレオノーラ,ダークプリズン,摩天楼の守護姫,抗戦の先に,,抵抗射撃
エリシャ,P,41,奇跡の癒し手,4,15,3,He,second,criminal,内田 彩,タカナシカナ,criminal,Priest,5530,4130,7330,5930,エリシャ,リアクティブハイヒール,奇跡の施術,神の言葉,,神の為に
,,,,,,,,,,,,,,,,,,,,,,,
イラリオン,F,151,独裁王子,3,10,2,Sl,second,criminal,緑川 光,碧風羽,criminal,Prince,4600,4720,6200,6320,イラリオン,エンディスラフト,祝福,,,カリスマ的指導
ハーディー,F,152,暗殺執事,3,10,2,Sl,second,criminal,緑川 光,三好載克,criminal,Butler,4650,4650,6250,6250,ハーディー,ファルバルフォール,暗撃,,,暗殺の手解き
ジェラルド,K,78,返り討ち騎士,3,10,2,Sl,second,criminal,緑川 光,西野幸治,criminal,Knight,4640,5240,6240,6840,ジェラルド,ヴァンスサーベル,復讐,,,報復
レオン,K,79,熱血看守,3,10,2,Sl,second,criminal,杉田 智和,烏羽雨,criminal,Guard,4720,5000,6320,6600,レオン,ジャリアチャージ,看守の絆,,,堅物看守
ローゼマリー,K,80,脱力看守,3,10,2,Bl,second,criminal,洲崎 綾,烏羽雨,criminal,Guard,4780,4940,6380,6540,ローゼマリー,ワードレスカット,看守の絆,,,奔放看守
アンセルム,A,78,大怪盗,3,10,2,Sh,second,criminal,緑川 光,日暮央,criminal,PhantomThief,4800,2520,6400,4120,アンセルム,ストリングスショット,盗めない世界,,,耽美の追及
ゼハティ,A,79,無垢なる銃工,3,10,2,Gu,second,criminal,福圓 美里,葉山えいし,criminal,Smith,4750,2540,6350,4140,ゼハティ,ブレイクショット,銃の雄叫び,,,銃のメンテナンス
ヴィリヘルム ,P,42,外法僧侶,3,10,2,He,second,criminal,緑川 光,加藤さやか,criminal,Healer,4380,2980,5980,4580,ヴィリヘルム ,オープンヒール,許されぬ癒し,,,望まれぬ癒し
カミラ,M,99,予言婆,3,10,2,Ma,second,criminal,藤村 歩,またよし,criminal,Prophet,4530,2630,6130,4230,カミラ,天の怒り,破滅の予言,,,天啓
,,,,,,,,,,,,,,,,,,,,,,,
チョコロロ,F,153,助けを待つ兎少女,2,5,1,Pu,second,criminal,渕上 舞,小田やよい,criminal,Criminal,2760,2300,4160,3700,チョコロロ,ラピッドラッシュ,敵陣戦闘,,,無垢なる援護
サンディ,A,80,殺人作家,2,6,1,Gu,second,criminal,小林 ゆう,星谷ひかり,criminal,Killer,2750,1420,4150,2820,サンディ,デッドライティング,毒薬,,,仕込み毒
ザカリー,A,81,脱獄王,2,6,1,Sh,second,criminal,藤原 啓治,後藤弘樹,criminal,Criminal,2710,1390,4110,2790,ザカリー,ポジティブショット,万全の態勢,,,脱獄王の助言
,,,,,,,,,,,,,,,,,,,,,,,
セガ・マークIII,A,82,楽しいイリュージョニスト,4,12,3,Ar,collaboration,other,田中 真奈美,KEI,others,Illusionist,4700,3000,,,セガ・マークIII,ゴールドカートリッジ,マナの素養,マジックショー,,ショータイム！
,,,,,,,,,,,,,,,,,,,,,,,
# 七つの大罪コラボ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
メリオダス,K,81,憤怒の罪,5,17,4,Sl,collaboration,sevensins,梶 裕貴,「七つの大罪」製作委員会,others,Knight,6500,7200,8500,9200,メリオダス,神千斬り,全反撃,魔神の力,,<豚の帽子>店主
バン,F,154,強欲の罪,5,17,4,Pu,collaboration,sevensins,鈴木 達央,「七つの大罪」製作委員会,others,Knight,7200,5950,9200,7950,バン,バニシング・キル,強奪,不死身のバン,,獲物狩り
キング,M,100,怠惰の罪,5,17,4,Ma,collaboration,sevensins,福山 潤,「七つの大罪」製作委員会,others,Knight,6600,4250,8600,6250,キング,炸裂する刃雨,災厄,第八形態花粒園,,第二形態守護獣
ディアンヌ,F,155,嫉妬の罪,4,13,3,Bl,collaboration,sevensins,悠木 碧,「七つの大罪」製作委員会,others,Knight,5250,5750,7050,7550,ディアンヌ,大地の怒号,創造,重金属,,砂の渦
ホーク,F,156,＜豚の帽子＞亭 看板豚,4,12,3,Bl,collaboration,sevensins,久野 美咲,「七つの大罪」製作委員会,others,Pork,4300,4300,6100,6100,ホーク,スーパー・ロース・イリュージョン,残飯処理騎士団団長,＜豚の帽子＞亭 看板豚,,タル生エール販売
ギルサンダー,K,82,聖騎士,4,13,3,Sl,collaboration,sevensins,雨宮 天,「七つの大罪」製作委員会,others,Paladin,5150,5700,6950,7500,ギルサンダー,雷帝の鉄槌,雷帝,金剛の聖騎士,,雷鳴斬
エリザベス,P,43,リオネス王国第三王女,4,13,3,He,collaboration,sevensins,宮野 真守,「七つの大罪」製作委員会,others,Princess,5100,4000,6900,5800,エリザベス,巫女の力,<豚の帽子>亭ウェイトレス,王女の声援,,見習いウェイトレス
,,,,,,,,,,,,,,,,,,,,,,,
ルーノ,K,83,魔祓いの聖騎士,5,18,4,Pi,ring,random,今井 麻美,武城にしき,holytown,Paladin,6660,7240,8660,9240,ルーノ,ホーリーレイ,魔祓いの浄化術,幽霊との共存,,魔祓いの流儀
,,,,,,,,,,,,,,,,,,,,,,,
# 討伐戦,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ハルアキ,F,157,宿命の当主,5,18,4,Sl,event,festival,石田 彰,文太,volcano,MasterFencer,7300,6500,9300,8500,ハルアキ,霞の刃・晴嵐,歩み寄る剣,愛憎相剋の太刀・春秋,,雪割草
トウカ,F,158,寄り添いし刃,5,18,4,Sl,event,festival,佐倉 綾音,文太,volcano,MasterFencer,7200,6400,9200,8400,トウカ,無音の剣・雪時雨,兄妹の思い,愛憎相剋の太刀・冬夏,,生きる意思
イザヤ,M,101,三ツ星教授,5,18,4,Ma,event,festival,石田 彰,武城にしき,academy,Professor,6700,4280,8700,6280,イザヤ,終焉の福音,魔道探知機オメガ,斬魔のワルツ,,レンタル超魔道探知機
ビエンタ,M,102,千河の司令官,5,18,4,Ma,event,festival,佐倉 綾音,竜徹,forest,Commander,6800,4370,8800,6370,ビエンタ,オープンコンバット,理想追求の指揮官,千河の頼れる指揮官,,豪快な指揮
ラビィ,K,84,神速の剣士,4,13,3,Sl,event,festival,小岩井 ことり,ricci,guildtown,Bouncer,5400,5880,7200,7680,ラビィ,エアスラッシュ,守るための速さ,宝物の靴,,お気に入りの靴
フェイスレス,A,83,無貌の暗殺者,4,13,3,Ar,event,festival,小岩井 ことり,あさぎり,guildtown,Clown,5600,3400,7400,5200,フェイスレス,ジョーカーフラッシュ,信頼の素顔,未来のために,,ポーカーフェイス
ミニモ,M,103,精霊の導き手,4,13,3,Ma,event,festival,小岩井 ことり,桑島黎音,guildtown,Magician,5500,3530,7300,5330,ミニモ,ジェンティレッツァ,頼み事はお任せ！,依頼の協力者,,出張依頼
ラファーガ,F,159,千河の氏族長,5,22,4,Bl,event,war,柳田 淳一,竜徹,forest,GreatWarrior,5000,5500,10400,9100,ラファーガ,ギガインパクト,千河の特攻野郎,破砕の一撃,,闘争心の塊
,,,,,,,,,,,,,,,,,,,,,,,
カスガ,F,160,茶店の看板娘,5,16,4,Pi,ring,trade,内田 彩,卵の黄身,volcano,Servant,5400,5000,74000,7000,カスガ,看板娘の腕っぷし,茶店の看板娘,お花見ダンゴ,,特製ダンゴ
,,,,,,,,,,,,,,,,,,,,,,,
# 大海チェインストーリーフェス,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
マレーナ,F,161,再興の海賊姫,5,20,4,Pi,second,dawnsea,内田 彩,文太,dawnsea,Pirate,7400,7400,9400,9400,マレーナ,ライトニングピアス,海賊狩りのマレーナ,義勇軍のマレーナ,,海賊姫の名告り
クララ,M,104,灯台守の少女,5,20,4,Ma,second,dawnsea,伊瀬 茉莉也,文太,dawnsea,Keeper,7650,4150,9650,6150,クララ,パロスパルサー,炎の道標,想いの炎,,標の暖光
オーガスタス,A,84,徳望の商人,4,15,3,Gu,second,dawnsea,緑川 光,文太,dawnsea,Merchant,5600,3250,7400,5050,オーガスタス,ダブルアクション,商人式先見力,商人式交渉術,,潜在利益
,,,,,,,,,,,,,,,,,,,,,,,
ノエル,P,44,閉じた瞳の神官,4,12,3,He,collaboration,other,小岩井 ことり,加藤裕美,guildtown,Priest,5800,4400,,,ノエル,オートハイヒール,敬虔な祈り,広き心,,決意の祈り
,,,,,,,,,,,,,,,,,,,,,,,
# 魔神アルフィン戦,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
シャウナ,M,105,魔神の恩師,5,18,4,Ma,event,festival,今井 麻美,泉彩,others,Teacher,6650,4400,8650,6400,シャウナ,シューティング・クエーサー,受け継いだ熱意,魔法教育的指導,,魔法家庭教師
アルフィン,M,106,平和の魔神,5,22,4,Bl,event,demon,内田 彩,泉彩,demon,Demon,6640,4040,9040,8440,アルフィン,ピースハンマー,魔神の膂力,平和的指導,,けんかはダメ！
,,,,,,,,,,,,,,,,,,,,,,,
モルシェラ,A,85,蝙蝠の射手,5,16,4,Ar,ring,trade,渕上 舞,あさぎり,forest,Archer,5680,3620,7680,5620,モルシェラ,アルシャトレッロ,コウモリの祝福,友達のために,,コウモリの加護
,,,,,,,,,,,,,,,,,,,,,,,
# 監獄カジノオープン,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
キャンディス,A,86,街の掃除屋,5,19,4,Sh,ring,random,福圓 美里,萩谷薫,dawnsea,Sweeper,6900,3800,8900,5800,キャンディス,ピンホールショット,悪を貫く一条の光,ゾーンの領域,,狙撃観測
バラクーダ,F,162,大海の走り屋,5,19,4,Pi,second,forest_sea,村川 梨衣,タカナシカナ,forest_sea,Fighter,7250,7150,9250,9150,バラクーダ,シガントテラー,大海の走り屋,大海の一番星,,走り屋の極意
コラール,M,107,珊瑚の使い,5,19,4,Ma,second,forest_sea,福圓 美里,またよし,forest_sea,Magician,6600,4600,8600,6600,コラール,バーストコルノ,珊瑚の護符,大いなるマナの輝き,,麗しき珊瑚
,,,,,,,,,,,,,,,,,,,,,,,
# 迷宮山脈とゴブリンの王国,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ルチア,F,163,七色工芸師,5,18,4,Pi,first,mountain,緒方 恵美,四々九,mountain,Smith,7150,7150,9150,9150,ルチア,クレッシェレ,冷静かつ情熱的に,ガラス細工職人,,ガラスの装飾
グリダ,F,164,採掘職人,5,18,4,Bl,first,mountain,内田 彩,I☆LA,mountain,Smith,7350,6850,9350,8850,グリダ,スプレンドーレ,採掘の技術,土妖精の採掘師,,採掘の勘
ピピ,M,108,不死鳥使い,4,13,3,Ma,first,mountain,加藤 英美里,武城にしき,mountain,Performer,5500,3400,7300,5200,ピピ,ウィントフラム,火妖精の大道芸人,不死鳥使い,,大道芸人の意志
オルガ,F,165,東北東の族長,5,22,4,Bl,event,score,佐倉 綾音,村山竜大,mountain,Matriarch,5500,5500,9300,9200,オルガ,グランドプレス,土妖精の剛体,オルガの号令,,愛用の戦槌
,,,,,,,,,,,,,,,,,,,,,,,
ガーランド,K,85,殿の不死鳥騎士,5,16,4,Sl,ring,trade,稲田 徹,西野幸治,holytown,Paladin,5000,6400,7000,8400,ガーランド,リバースポイニクス,殿の務め,不死鳥の如く,,殿のジンクス
,,,,,,,,,,,,,,,,,,,,,,,
# 500万DL記念,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ファティマ,M,109,黄金の魔女,5,18,4,Ma,event,festival,小岩井 ことり,HACCAN,academy,MasterSage,7280,4080,9280,6080,ファティマ,スターマイン,運命を識る魔女,未来に紡ぐ魔法,,運命学の知識
,,,,,,,,,,,,,,,,,,,,,,,
# 2部5章,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
リン,M,110,真理の少女,5,20,4,Ma,second,life,皆口 裕子,シルバー,life,Detect,7600,4300,9600,6300,リン,アレティスク,真理の法術,探求者,,理の法術
ピノ,M,111,愛されし少女,5,20,4,Ma,second,life,小林 ゆう,HACCAN,life,Accept,8100,4350,10100,6350,ピノ,レクスフラング,託される者,託された物,,委ねる希望
セト,M,112,幻想の少年,5,20,4,Ma,second,life,福圓 美里,ワダアルコ,life,Hermit,7660,4240,9660,6240,セト,ミラージュファンタズム,空蝉の幻惑,本物の世界,,朧げな世界
ラナ,M,113,稲妻の少女,5,20,4,Ma,second,life,田村 ゆかり,煎茶,life,Accept,7700,4220,9700,6220,ラナ,シャイニーボルト,ぴかぴかの光,きらきらの光,,電光石火
ザラ,M,114,灯火の少女,5,20,4,Ma,second,life,小林 ゆう,木志田コテツ,life,Hermit,7990,3980,9990,5980,ザラ,リミットフレイム,朝露に瞬く花火,終焉の薔薇,,陰り瞬く挽火
トア,P,45,はなむけの少女,5,20,4,He,second,life,今井 麻美,ilumine works,life,Accept,7780,5150,9780,7150,トア,エクストラヒーリング,死を見送る少女,心の在り処,,癒しの根底
,,,,,,,,,,,,,,,,,,,,,,,
キリ,F,166,冒険の少年,4,15,3,Sl,second,life,小林 ゆう,萩谷薫,life,Detect,5850,5850,7650,7650,キリ,グランスラッシュ,弛まぬ冒険心,勇気の大冒険,,先導する冒険家
アト,K,86,防壁の少年,4,15,3,Ma,second,life,寺崎 裕香,タカナシカナ,life,Accept,5630,6330,7430,8130,アト,プロテクトレイ,防壁の主,断絶する意志の盾,,防壁展開
アン,A,87,憧憬の少女,4,15,3,Ar,second,life,洲崎 綾,泉彩,life,Detect,5660,3800,7460,5600,アン,ミックスクラム,魔弓の使い手,大人の世界,,大人のオシャレ
テラ,P,46,喪に服す少女,4,15,3,He,second,life,花澤 香菜,文太,life,Accept,5460,4220,7260,6020,テラ,ビルドヒール,空白の世界,笑顔をあなたに,,残照の記憶
ドリ,M,115,遺影描きの少年,4,15,3,Ma,second,life,赤羽根 健治,村山竜大,life,Accept,5820,3450,7620,5250,ドリ,エポックドロー,描く肖像画,遺す物遺された者,,描き留める情景
ロズ,M,116,歴史書きの少年,4,15,3,Ma,second,life,緑川 光,村山竜大,life,Accept,5760,3520,7560,5320,ロズ,アストフラム,勤勉なる歴史家,未来に繋ぐ書物,,歴史書の断片
